Team,Opponent,Team_Score,Opponent_Score
VALLADOLID,VALENCIA,1.0,0.0
VILLARREAL,MALLORCA,1.0,1.0
REAL MADRID,BARCELONA,1.0,1.0
ALAVES,MALAGA,0.0,1.0
ESPANYOL,ATHLETIC BILBAO,3.0,3.0
RACING SANTANDER,RECREATIVO HUELVA,1.0,0.0
OSASUNA,CELTA VIGO,0.0,2.0
DEPORTIVO LA CORUNA,SEVILLA,3.0,1.0
BETIS,ATLETICO MADRID,2.0,2.0
REAL SOCIEDAD,RAYO VALLECANO,5.0,0.0
ATHLETIC BILBAO,BETIS,3.0,1.0
ATLETICO MADRID,OSASUNA,0.0,1.0
VALENCIA,ALAVES,3.0,0.0
MALAGA,RACING SANTANDER,2.0,2.0
RAYO VALLECANO,ESPANYOL,0.0,3.0
CELTA VIGO,VALLADOLID,0.0,0.0
MALLORCA,DEPORTIVO LA CORUNA,3.0,0.0
RECREATIVO HUELVA,VILLARREAL,5.0,0.0
SEVILLA,REAL MADRID,1.0,3.0
BARCELONA,REAL SOCIEDAD,2.0,1.0
REAL MADRID,MALLORCA,1.0,5.0
REAL SOCIEDAD,SEVILLA,1.0,0.0
ALAVES,CELTA VIGO,0.0,0.0
VILLARREAL,MALAGA,0.0,0.0
VALLADOLID,ATLETICO MADRID,3.0,1.0
BETIS,ESPANYOL,1.0,1.0
RACING SANTANDER,VALENCIA,2.0,1.0
OSASUNA,ATHLETIC BILBAO,1.0,5.0
BARCELONA,RAYO VALLECANO,3.0,0.0
DEPORTIVO LA CORUNA,RECREATIVO HUELVA,5.0,0.0
ATLETICO MADRID,ALAVES,0.0,1.0
RECREATIVO HUELVA,REAL MADRID,0.0,0.0
ATHLETIC BILBAO,VALLADOLID,0.0,0.0
ESPANYOL,OSASUNA,0.0,0.0
MALAGA,DEPORTIVO LA CORUNA,0.0,2.0
CELTA VIGO,RACING SANTANDER,2.0,2.0
RAYO VALLECANO,BETIS,1.0,1.0
MALLORCA,REAL SOCIEDAD,1.0,3.0
VALENCIA,VILLARREAL,1.0,2.0
SEVILLA,BARCELONA,0.0,0.0
RACING SANTANDER,ATLETICO MADRID,0.0,2.0
DEPORTIVO LA CORUNA,VALENCIA,1.0,2.0
VILLARREAL,CELTA VIGO,5.0,0.0
VALLADOLID,ESPANYOL,1.0,1.0
SEVILLA,RAYO VALLECANO,3.0,3.0
ALAVES,ATHLETIC BILBAO,2.0,4.0
REAL SOCIEDAD,RECREATIVO HUELVA,1.0,0.0
REAL MADRID,MALAGA,5.0,1.0
OSASUNA,BETIS,2.0,1.0
BARCELONA,MALLORCA,1.0,2.0
ATLETICO MADRID,VILLARREAL,3.0,2.0
ATHLETIC BILBAO,RACING SANTANDER,2.0,1.0
CELTA VIGO,DEPORTIVO LA CORUNA,3.0,0.0
RAYO VALLECANO,OSASUNA,0.0,0.0
VALENCIA,REAL MADRID,1.0,2.0
ESPANYOL,ALAVES,3.0,1.0
MALLORCA,SEVILLA,1.0,3.0
RECREATIVO HUELVA,BARCELONA,1.0,3.0
BETIS,VALLADOLID,2.0,2.0
MALAGA,REAL SOCIEDAD,0.0,2.0
REAL MADRID,CELTA VIGO,1.0,1.0
DEPORTIVO LA CORUNA,ATLETICO MADRID,3.0,2.0
ALAVES,BETIS,0.0,1.0
MALLORCA,RAYO VALLECANO,1.0,1.0
VILLARREAL,ATHLETIC BILBAO,1.0,1.0
VALLADOLID,OSASUNA,0.0,2.0
BARCELONA,MALAGA,2.0,1.0
SEVILLA,RECREATIVO HUELVA,1.0,0.0
REAL SOCIEDAD,VALENCIA,1.0,1.0
RACING SANTANDER,ESPANYOL,5.0,2.0
VALLADOLID,RAYO VALLECANO,2.0,0.0
OSASUNA,ALAVES,4.0,2.0
MALAGA,SEVILLA,3.0,2.0
ESPANYOL,VILLARREAL,2.0,2.0
RECREATIVO HUELVA,MALLORCA,1.0,1.0
BETIS,RACING SANTANDER,4.0,2.0
VALENCIA,BARCELONA,1.0,3.0
ATHLETIC BILBAO,DEPORTIVO LA CORUNA,3.0,2.0
CELTA VIGO,REAL SOCIEDAD,3.0,2.0
ATLETICO MADRID,REAL MADRID,0.0,4.0
RAYO VALLECANO,RECREATIVO HUELVA,0.0,0.0
SEVILLA,VALENCIA,0.0,3.0
ALAVES,VALLADOLID,1.0,1.0
MALLORCA,MALAGA,1.0,0.0
RACING SANTANDER,OSASUNA,2.0,3.0
DEPORTIVO LA CORUNA,ESPANYOL,2.0,1.0
VILLARREAL,BETIS,1.0,4.0
BARCELONA,CELTA VIGO,2.0,0.0
REAL MADRID,ATHLETIC BILBAO,3.0,1.0
REAL SOCIEDAD,ATLETICO MADRID,3.0,0.0
ESPANYOL,REAL SOCIEDAD,1.0,1.0
REAL MADRID,BETIS,2.0,1.0
ALBACETE,OSASUNA,0.0,2.0
MALAGA,VILLARREAL,0.0,0.0
ATHLETIC BILBAO,BARCELONA,0.0,1.0
VALENCIA,VALLADOLID,1.0,1.0
CELTA VIGO,MURCIA,1.0,1.0
RACING SANTANDER,MALLORCA,2.0,1.0
SEVILLA,ATLETICO MADRID,1.0,0.0
ZARAGOZA,DEPORTIVO LA CORUNA,0.0,1.0
VILLARREAL,REAL MADRID,1.0,1.0
OSASUNA,VALENCIA,0.0,1.0
REAL SOCIEDAD,CELTA VIGO,1.0,1.0
VALLADOLID,MALAGA,1.0,0.0
MURCIA,RACING SANTANDER,1.0,1.0
MALLORCA,ZARAGOZA,2.0,0.0
BETIS,ESPANYOL,2.0,2.0
DEPORTIVO LA CORUNA,ATHLETIC BILBAO,2.0,0.0
ATLETICO MADRID,ALBACETE,1.0,0.0
BARCELONA,SEVILLA,1.0,1.0
REAL MADRID,VALLADOLID,7.0,2.0
CELTA VIGO,BETIS,0.0,2.0
RACING SANTANDER,REAL SOCIEDAD,0.0,1.0
SEVILLA,DEPORTIVO LA CORUNA,1.0,2.0
OSASUNA,ATLETICO MADRID,1.0,0.0
VALENCIA,MALAGA,1.0,0.0
ZARAGOZA,MURCIA,3.0,0.0
ESPANYOL,VILLARREAL,1.0,2.0
ATHLETIC BILBAO,MALLORCA,4.0,0.0
ALBACETE,BARCELONA,1.0,2.0
BARCELONA,OSASUNA,1.0,1.0
ATLETICO MADRID,VALENCIA,0.0,3.0
VALLADOLID,ESPANYOL,3.0,1.0
MALLORCA,SEVILLA,1.0,1.0
DEPORTIVO LA CORUNA,ALBACETE,3.0,0.0
VILLARREAL,CELTA VIGO,1.0,1.0
REAL SOCIEDAD,ZARAGOZA,3.0,0.0
BETIS,RACING SANTANDER,0.0,0.0
MURCIA,ATHLETIC BILBAO,2.0,2.0
MALAGA,REAL MADRID,1.0,3.0
ATHLETIC BILBAO,REAL SOCIEDAD,1.0,0.0
OSASUNA,DEPORTIVO LA CORUNA,3.0,2.0
CELTA VIGO,VALLADOLID,3.0,2.0
VALENCIA,REAL MADRID,2.0,0.0
ZARAGOZA,BETIS,0.0,1.0
RACING SANTANDER,VILLARREAL,0.0,2.0
ALBACETE,MALLORCA,2.0,0.0
ESPANYOL,MALAGA,1.0,2.0
SEVILLA,MURCIA,1.0,0.0
ATLETICO MADRID,BARCELONA,0.0,0.0
DEPORTIVO LA CORUNA,ATLETICO MADRID,5.0,1.0
VILLARREAL,ZARAGOZA,1.0,1.0
BETIS,ATHLETIC BILBAO,1.0,1.0
MALAGA,CELTA VIGO,2.0,1.0
MURCIA,ALBACETE,1.0,0.0
MALLORCA,OSASUNA,1.0,1.0
REAL SOCIEDAD,SEVILLA,1.0,1.0
VALLADOLID,RACING SANTANDER,0.0,4.0
REAL MADRID,ESPANYOL,2.0,1.0
BARCELONA,VALENCIA,0.0,1.0
CELTA VIGO,REAL MADRID,0.0,2.0
ALBACETE,REAL SOCIEDAD,3.0,1.0
BARCELONA,DEPORTIVO LA CORUNA,0.0,2.0
VALENCIA,ESPANYOL,4.0,0.0
ZARAGOZA,VALLADOLID,1.0,0.0
RACING SANTANDER,MALAGA,4.0,2.0
ATHLETIC BILBAO,VILLARREAL,2.0,0.0
OSASUNA,MURCIA,2.0,1.0
ATLETICO MADRID,MALLORCA,2.0,1.0
SEVILLA,BETIS,2.0,2.0
MALAGA,ZARAGOZA,2.0,1.0
REAL MADRID,RACING SANTANDER,3.0,1.0
DEPORTIVO LA CORUNA,VALENCIA,2.0,1.0
VILLARREAL,SEVILLA,3.0,3.0
ESPANYOL,CELTA VIGO,0.0,4.0
BETIS,ALBACETE,3.0,2.0
REAL SOCIEDAD,OSASUNA,1.0,0.0
VALLADOLID,ATHLETIC BILBAO,2.0,0.0
MALLORCA,BARCELONA,1.0,3.0
MURCIA,ATLETICO MADRID,1.0,3.0
ZARAGOZA,REAL MADRID,0.0,0.0
ALBACETE,VILLARREAL,2.0,0.0
ATHLETIC BILBAO,MALAGA,2.0,1.0
OSASUNA,BETIS,2.0,0.0
SEVILLA,VALLADOLID,1.0,1.0
DEPORTIVO LA CORUNA,MALLORCA,0.0,2.0
RACING SANTANDER,ESPANYOL,0.0,1.0
BARCELONA,MURCIA,3.0,0.0
VALENCIA,CELTA VIGO,2.0,2.0
ATLETICO MADRID,REAL SOCIEDAD,4.0,0.0
CELTA VIGO,RACING SANTANDER,0.0,1.0
MURCIA,DEPORTIVO LA CORUNA,0.0,0.0
REAL MADRID,ATHLETIC BILBAO,3.0,0.0
VALLADOLID,ALBACETE,2.0,0.0
ESPANYOL,ZARAGOZA,0.0,2.0
MALAGA,SEVILLA,2.0,0.0
BETIS,ATLETICO MADRID,1.0,2.0
VILLARREAL,OSASUNA,1.0,0.0
REAL SOCIEDAD,BARCELONA,3.0,3.0
MALLORCA,VALENCIA,0.0,5.0
ZARAGOZA,CELTA VIGO,1.0,1.0
ATHLETIC BILBAO,ESPANYOL,1.0,0.0
DEPORTIVO LA CORUNA,REAL SOCIEDAD,2.0,1.0
ATLETICO MADRID,VILLARREAL,1.0,0.0
MALLORCA,MURCIA,4.0,1.0
OSASUNA,VALLADOLID,1.0,1.0
ALBACETE,MALAGA,0.0,1.0
VALENCIA,RACING SANTANDER,1.0,2.0
BARCELONA,BETIS,2.0,1.0
SEVILLA,REAL MADRID,4.0,1.0
REAL SOCIEDAD,MALLORCA,0.0,1.0
BETIS,DEPORTIVO LA CORUNA,0.0,0.0
VILLARREAL,BARCELONA,2.0,1.0
VALLADOLID,ATLETICO MADRID,3.0,1.0
MALAGA,OSASUNA,0.0,0.0
CELTA VIGO,ATHLETIC BILBAO,0.0,2.0
ESPANYOL,SEVILLA,1.0,0.0
RACING SANTANDER,ZARAGOZA,1.0,2.0
REAL MADRID,ALBACETE,2.0,1.0
MURCIA,VALENCIA,2.0,2.0
MURCIA,REAL SOCIEDAD,2.0,2.0
OSASUNA,REAL MADRID,1.0,1.0
ATLETICO MADRID,MALAGA,2.0,0.0
